orig_id,set
LIDC-IDRI-0553,valid
LIDC-IDRI-0562,train
LIDC-IDRI-0565,train
LIDC-IDRI-0575,train
LIDC-IDRI-0576,train
LIDC-IDRI-0045,test
LIDC-IDRI-0587,train
LIDC-IDRI-0601,valid
LIDC-IDRI-0606,train
LIDC-IDRI-0608,train
LIDC-IDRI-0614,train
LIDC-IDRI-0619,train
LIDC-IDRI-0624,train
LIDC-IDRI-0629,train
LIDC-IDRI-0636,train
LIDC-IDRI-0641,test
LIDC-IDRI-0651,test
LIDC-IDRI-0655,test
LIDC-IDRI-0659,test
LIDC-IDRI-0660,test
LIDC-IDRI-0671,test
LIDC-IDRI-0678,test
LIDC-IDRI-0681,test
LIDC-IDRI-0686,test
LIDC-IDRI-0688,test
LIDC-IDRI-0701,test
LIDC-IDRI-0702,test
LIDC-IDRI-0705,test
LIDC-IDRI-0007,train
LIDC-IDRI-0714,test
LIDC-IDRI-0720,test
LIDC-IDRI-0722,test
LIDC-IDRI-0734,test
LIDC-IDRI-0047,train
LIDC-IDRI-0741,test
LIDC-IDRI-0743,test
LIDC-IDRI-0753,test
LIDC-IDRI-0756,test
LIDC-IDRI-0048,test
LIDC-IDRI-0759,test
LIDC-IDRI-0766,test
LIDC-IDRI-0768,test
LIDC-IDRI-0770,test
LIDC-IDRI-0772,test
LIDC-IDRI-0775,test
LIDC-IDRI-0776,test
LIDC-IDRI-0780,test
LIDC-IDRI-0785,test
LIDC-IDRI-0788,test
LIDC-IDRI-0790,test
LIDC-IDRI-0791,test
LIDC-IDRI-0793,test
LIDC-IDRI-0049,test
LIDC-IDRI-0796,test
LIDC-IDRI-0805,test
LIDC-IDRI-0807,test
LIDC-IDRI-0815,test
LIDC-IDRI-0819,test
LIDC-IDRI-0837,test
LIDC-IDRI-0051,train
LIDC-IDRI-0843,test
LIDC-IDRI-0844,test
LIDC-IDRI-0849,test
LIDC-IDRI-0850,test
LIDC-IDRI-0858,test
LIDC-IDRI-0869,test
LIDC-IDRI-0874,test
LIDC-IDRI-0875,test
LIDC-IDRI-0879,test
LIDC-IDRI-0883,test
LIDC-IDRI-0884,train
LIDC-IDRI-0052,train
LIDC-IDRI-0893,train
LIDC-IDRI-0896,valid
LIDC-IDRI-0902,train
LIDC-IDRI-0905,train
LIDC-IDRI-0053,train
LIDC-IDRI-0911,train
LIDC-IDRI-0912,train
LIDC-IDRI-0920,train
LIDC-IDRI-0921,train
LIDC-IDRI-0925,train
LIDC-IDRI-0054,train
LIDC-IDRI-0933,train
LIDC-IDRI-0936,train
LIDC-IDRI-0939,train
LIDC-IDRI-0940,train
LIDC-IDRI-0942,valid
LIDC-IDRI-0011,train
LIDC-IDRI-0055,train
LIDC-IDRI-0951,valid
LIDC-IDRI-0965,train
LIDC-IDRI-0973,valid
LIDC-IDRI-0978,train
LIDC-IDRI-0982,train
LIDC-IDRI-0986,train
LIDC-IDRI-0994,train
LIDC-IDRI-1002,train
LIDC-IDRI-0059,train
LIDC-IDRI-1003,train
LIDC-IDRI-1004,train
LIDC-IDRI-1011,train
LIDC-IDRI-0012,train
LIDC-IDRI-0013,train
LIDC-IDRI-0027,train
LIDC-IDRI-0060,valid
LIDC-IDRI-0061,train
LIDC-IDRI-0056,valid
LIDC-IDRI-0063,train
LIDC-IDRI-0067,train
LIDC-IDRI-0068,train
LIDC-IDRI-0069,train
LIDC-IDRI-0073,train
LIDC-IDRI-0074,train
LIDC-IDRI-0075,train
LIDC-IDRI-0081,train
LIDC-IDRI-0082,train
LIDC-IDRI-0091,valid
LIDC-IDRI-0092,train
LIDC-IDRI-0095,train
LIDC-IDRI-0096,train
LIDC-IDRI-0097,train
LIDC-IDRI-0109,train
LIDC-IDRI-0066,train
LIDC-IDRI-0111,valid
LIDC-IDRI-0004,train
LIDC-IDRI-0009,train
LIDC-IDRI-0535,test
LIDC-IDRI-0537,train
LIDC-IDRI-0538,train
LIDC-IDRI-0539,train
LIDC-IDRI-0542,train
LIDC-IDRI-0545,train
LIDC-IDRI-0547,train
LIDC-IDRI-0551,train
LIDC-IDRI-0554,train
LIDC-IDRI-0556,train
LIDC-IDRI-0557,train
LIDC-IDRI-0558,train
LIDC-IDRI-0559,train
LIDC-IDRI-0563,train
LIDC-IDRI-0567,train
LIDC-IDRI-0568,train
LIDC-IDRI-0569,train
LIDC-IDRI-0578,train
LIDC-IDRI-0582,train
LIDC-IDRI-0583,valid
LIDC-IDRI-0588,train
LIDC-IDRI-0590,train
LIDC-IDRI-0593,train
LIDC-IDRI-0598,train
LIDC-IDRI-0599,train
LIDC-IDRI-0602,train
LIDC-IDRI-0604,valid
LIDC-IDRI-0605,valid
LIDC-IDRI-0607,train
LIDC-IDRI-0609,train
LIDC-IDRI-0615,train
LIDC-IDRI-0617,valid
LIDC-IDRI-0621,train
LIDC-IDRI-0625,train
LIDC-IDRI-0631,train
LIDC-IDRI-0633,train
LIDC-IDRI-0637,train
LIDC-IDRI-0010,train
LIDC-IDRI-0638,valid
LIDC-IDRI-0639,train
LIDC-IDRI-0058,train
LIDC-IDRI-0644,train
LIDC-IDRI-0647,train
LIDC-IDRI-0648,test
LIDC-IDRI-0650,train
LIDC-IDRI-0656,train
LIDC-IDRI-0657,train
LIDC-IDRI-0661,valid
LIDC-IDRI-0662,train
LIDC-IDRI-0663,train
LIDC-IDRI-0664,train
LIDC-IDRI-0065,train
LIDC-IDRI-0670,train
LIDC-IDRI-0672,train
LIDC-IDRI-0673,train
LIDC-IDRI-0674,train
LIDC-IDRI-0675,train
LIDC-IDRI-0676,train
LIDC-IDRI-0677,train
LIDC-IDRI-0692,train
LIDC-IDRI-0695,train
LIDC-IDRI-0696,train
LIDC-IDRI-0699,train
LIDC-IDRI-0700,train
LIDC-IDRI-0703,train
LIDC-IDRI-0704,train
LIDC-IDRI-0708,train
LIDC-IDRI-0717,train
LIDC-IDRI-0723,train
LIDC-IDRI-0725,train
LIDC-IDRI-0726,train
LIDC-IDRI-0727,train
LIDC-IDRI-0728,train
LIDC-IDRI-0730,train
LIDC-IDRI-0732,test
LIDC-IDRI-0733,valid
LIDC-IDRI-0070,valid
LIDC-IDRI-0735,train
LIDC-IDRI-0736,train
LIDC-IDRI-0739,train
LIDC-IDRI-0740,train
LIDC-IDRI-0742,train
LIDC-IDRI-0744,train
LIDC-IDRI-0748,train
LIDC-IDRI-0752,test
LIDC-IDRI-0754,train
LIDC-IDRI-0076,valid
LIDC-IDRI-0757,train
LIDC-IDRI-0758,train
LIDC-IDRI-0761,train
LIDC-IDRI-0077,train
LIDC-IDRI-0762,train
LIDC-IDRI-0763,train
LIDC-IDRI-0767,train
LIDC-IDRI-0083,train
LIDC-IDRI-0771,train
LIDC-IDRI-0084,valid
LIDC-IDRI-0777,train
LIDC-IDRI-0778,train
LIDC-IDRI-0779,train
LIDC-IDRI-0781,train
LIDC-IDRI-0782,train
LIDC-IDRI-0787,train
LIDC-IDRI-0789,train
LIDC-IDRI-0792,train
LIDC-IDRI-0794,train
LIDC-IDRI-0795,train
LIDC-IDRI-0799,train
LIDC-IDRI-0801,train
LIDC-IDRI-0802,train
LIDC-IDRI-0806,valid
LIDC-IDRI-0809,train
LIDC-IDRI-0810,train
LIDC-IDRI-0813,train
LIDC-IDRI-0814,train
LIDC-IDRI-0817,train
LIDC-IDRI-0820,train
LIDC-IDRI-0087,train
LIDC-IDRI-0821,train
LIDC-IDRI-0822,train
LIDC-IDRI-0826,valid
LIDC-IDRI-0827,train
LIDC-IDRI-0830,train
LIDC-IDRI-0831,train
LIDC-IDRI-0088,valid
LIDC-IDRI-0833,train
LIDC-IDRI-0834,train
LIDC-IDRI-0835,train
LIDC-IDRI-0836,train
LIDC-IDRI-0838,test
LIDC-IDRI-0090,train
LIDC-IDRI-0840,train
LIDC-IDRI-0842,train
LIDC-IDRI-0845,train
LIDC-IDRI-0851,train
LIDC-IDRI-0852,train
LIDC-IDRI-0854,train
LIDC-IDRI-0856,train
LIDC-IDRI-0857,train
LIDC-IDRI-0859,train
LIDC-IDRI-0860,test
LIDC-IDRI-0864,train
LIDC-IDRI-0093,valid
LIDC-IDRI-0867,train
LIDC-IDRI-0870,valid
LIDC-IDRI-0099,train
LIDC-IDRI-0890,valid
LIDC-IDRI-0895,train
LIDC-IDRI-0898,train
LIDC-IDRI-0899,train
LIDC-IDRI-0908,train
LIDC-IDRI-0909,train
LIDC-IDRI-0102,train
LIDC-IDRI-0913,train
LIDC-IDRI-0914,train
LIDC-IDRI-0915,train
LIDC-IDRI-0917,train
LIDC-IDRI-0922,train
LIDC-IDRI-0923,train
LIDC-IDRI-0924,train
LIDC-IDRI-0929,train
LIDC-IDRI-0932,train
LIDC-IDRI-0105,train
LIDC-IDRI-0943,train
LIDC-IDRI-0947,valid
LIDC-IDRI-0106,valid
LIDC-IDRI-0950,valid
LIDC-IDRI-0955,train
LIDC-IDRI-0956,train
LIDC-IDRI-0963,train
LIDC-IDRI-0966,valid
LIDC-IDRI-0968,train
LIDC-IDRI-0976,train
LIDC-IDRI-0985,train
LIDC-IDRI-0987,train
LIDC-IDRI-0989,train
LIDC-IDRI-0108,train
LIDC-IDRI-0990,train
LIDC-IDRI-0996,train
LIDC-IDRI-0997,train
LIDC-IDRI-1001,train
LIDC-IDRI-1005,valid
LIDC-IDRI-1007,train
LIDC-IDRI-1010,train
LIDC-IDRI-1012,train
LIDC-IDRI-0005,valid
LIDC-IDRI-0116,train
LIDC-IDRI-0008,test
LIDC-IDRI-0118,valid
LIDC-IDRI-0017,train
LIDC-IDRI-0020,train
LIDC-IDRI-0026,train
LIDC-IDRI-0030,train
LIDC-IDRI-0034,train
LIDC-IDRI-0038,train
LIDC-IDRI-0039,train
LIDC-IDRI-0040,train
LIDC-IDRI-0119,test
LIDC-IDRI-0042,test
LIDC-IDRI-0121,test
LIDC-IDRI-0046,test
LIDC-IDRI-0122,train
LIDC-IDRI-0123,train
LIDC-IDRI-0125,train
LIDC-IDRI-0126,valid
LIDC-IDRI-0131,train
LIDC-IDRI-0135,train
LIDC-IDRI-0139,train
LIDC-IDRI-0147,train
LIDC-IDRI-0149,train
LIDC-IDRI-0155,train
LIDC-IDRI-0157,train
LIDC-IDRI-0158,valid
LIDC-IDRI-0159,train
LIDC-IDRI-0162,train
LIDC-IDRI-0165,train
LIDC-IDRI-0167,train
LIDC-IDRI-0168,train
LIDC-IDRI-0171,valid
LIDC-IDRI-0173,train
LIDC-IDRI-0176,train
LIDC-IDRI-0177,train
LIDC-IDRI-0180,train
LIDC-IDRI-0187,valid
LIDC-IDRI-0188,valid
LIDC-IDRI-0192,train
LIDC-IDRI-0199,valid
LIDC-IDRI-0200,train
LIDC-IDRI-0201,train
LIDC-IDRI-0206,train
LIDC-IDRI-0208,train
LIDC-IDRI-0210,train
LIDC-IDRI-0211,train
LIDC-IDRI-0212,train
LIDC-IDRI-0215,valid
LIDC-IDRI-0216,train
LIDC-IDRI-0227,train
LIDC-IDRI-0231,train
LIDC-IDRI-0232,train
LIDC-IDRI-0233,train
LIDC-IDRI-0241,valid
LIDC-IDRI-0243,train
LIDC-IDRI-0245,train
LIDC-IDRI-0247,train
LIDC-IDRI-0251,train
LIDC-IDRI-0254,train
LIDC-IDRI-0255,train
LIDC-IDRI-0256,train
LIDC-IDRI-0263,train
LIDC-IDRI-0267,train
LIDC-IDRI-0268,train
LIDC-IDRI-0269,train
LIDC-IDRI-0270,train
LIDC-IDRI-0271,train
LIDC-IDRI-0272,train
LIDC-IDRI-0275,train
LIDC-IDRI-0276,train
LIDC-IDRI-0278,train
LIDC-IDRI-0280,train
LIDC-IDRI-0281,train
LIDC-IDRI-0282,train
LIDC-IDRI-0283,train
LIDC-IDRI-0284,train
LIDC-IDRI-0286,train
LIDC-IDRI-0287,train
LIDC-IDRI-0288,train
LIDC-IDRI-0289,train
LIDC-IDRI-0290,train
LIDC-IDRI-0291,train
LIDC-IDRI-0297,train
LIDC-IDRI-0299,train
LIDC-IDRI-0301,train
LIDC-IDRI-0302,train
LIDC-IDRI-0309,valid
LIDC-IDRI-0318,train
LIDC-IDRI-0319,train
LIDC-IDRI-0320,train
LIDC-IDRI-0193,train
LIDC-IDRI-0198,train
LIDC-IDRI-0203,train
LIDC-IDRI-0222,valid
LIDC-IDRI-0025,train
LIDC-IDRI-0273,train
LIDC-IDRI-0285,train
LIDC-IDRI-0292,train
LIDC-IDRI-0324,train
LIDC-IDRI-0326,train
LIDC-IDRI-0328,train
LIDC-IDRI-0335,train
LIDC-IDRI-0338,train
LIDC-IDRI-0341,train
LIDC-IDRI-0344,train
LIDC-IDRI-0345,train
LIDC-IDRI-0352,train
LIDC-IDRI-0353,train
LIDC-IDRI-0356,train
LIDC-IDRI-0035,valid
LIDC-IDRI-0358,train
LIDC-IDRI-0363,train
LIDC-IDRI-0367,train
LIDC-IDRI-0370,train
LIDC-IDRI-0371,train
LIDC-IDRI-0372,train
LIDC-IDRI-0373,train
LIDC-IDRI-0374,train
LIDC-IDRI-0375,train
LIDC-IDRI-0376,train
LIDC-IDRI-0380,train
LIDC-IDRI-0384,train
LIDC-IDRI-0386,train
LIDC-IDRI-0393,train
LIDC-IDRI-0397,train
LIDC-IDRI-0399,train
LIDC-IDRI-0400,train
LIDC-IDRI-0402,train
LIDC-IDRI-0403,train
LIDC-IDRI-0405,train
LIDC-IDRI-0406,train
LIDC-IDRI-0408,train
LIDC-IDRI-0411,train
LIDC-IDRI-0412,train
LIDC-IDRI-0413,train
LIDC-IDRI-0416,train
LIDC-IDRI-0419,train
LIDC-IDRI-0420,train
LIDC-IDRI-0424,train
LIDC-IDRI-0427,train
LIDC-IDRI-0429,train
LIDC-IDRI-0430,train
LIDC-IDRI-0202,train
LIDC-IDRI-0888,train
LIDC-IDRI-0919,train
LIDC-IDRI-0219,train
LIDC-IDRI-0274,train
LIDC-IDRI-0311,train
LIDC-IDRI-0314,train
LIDC-IDRI-0432,train
LIDC-IDRI-0451,train
LIDC-IDRI-0525,test
LIDC-IDRI-0698,test
LIDC-IDRI-0715,test
LIDC-IDRI-0938,train
LIDC-IDRI-0112,train
LIDC-IDRI-0120,test
LIDC-IDRI-0152,train
LIDC-IDRI-0543,train
LIDC-IDRI-0579,valid
LIDC-IDRI-0886,valid
LIDC-IDRI-0892,valid
LIDC-IDRI-0904,train
LIDC-IDRI-0910,train
LIDC-IDRI-0935,valid
LIDC-IDRI-0946,train
LIDC-IDRI-0949,valid
LIDC-IDRI-0958,valid
LIDC-IDRI-0961,valid
LIDC-IDRI-0962,train
LIDC-IDRI-0974,train
LIDC-IDRI-0980,train
LIDC-IDRI-0998,valid
LIDC-IDRI-0132,valid
LIDC-IDRI-0134,valid
LIDC-IDRI-0136,valid
LIDC-IDRI-0151,valid
LIDC-IDRI-0156,valid
LIDC-IDRI-0315,valid
LIDC-IDRI-0334,valid
LIDC-IDRI-0337,train
LIDC-IDRI-0346,valid
LIDC-IDRI-0347,valid
LIDC-IDRI-0354,valid
LIDC-IDRI-0360,valid
LIDC-IDRI-0365,valid
LIDC-IDRI-0366,valid
LIDC-IDRI-0368,valid
LIDC-IDRI-0387,train
LIDC-IDRI-0390,valid
LIDC-IDRI-0395,train
LIDC-IDRI-0414,train
LIDC-IDRI-0426,train
LIDC-IDRI-0484,test
LIDC-IDRI-0504,train
LIDC-IDRI-0518,test
LIDC-IDRI-0526,test
LIDC-IDRI-0527,train
LIDC-IDRI-0533,train
LIDC-IDRI-0550,valid
LIDC-IDRI-0597,train
LIDC-IDRI-0635,test
LIDC-IDRI-0642,test
LIDC-IDRI-0707,test
LIDC-IDRI-0709,test
LIDC-IDRI-0713,test
LIDC-IDRI-0719,test
LIDC-IDRI-0749,test
LIDC-IDRI-0798,test
LIDC-IDRI-0855,test
LIDC-IDRI-0945,valid
LIDC-IDRI-0993,valid
LIDC-IDRI-0078,train
LIDC-IDRI-0079,train
LIDC-IDRI-0098,train
LIDC-IDRI-0104,train
LIDC-IDRI-0110,valid
LIDC-IDRI-0115,test
LIDC-IDRI-0117,test
LIDC-IDRI-0150,valid
LIDC-IDRI-0359,valid
LIDC-IDRI-0378,valid
LIDC-IDRI-0577,valid
LIDC-IDRI-0541,train
LIDC-IDRI-0580,train
LIDC-IDRI-0611,train
LIDC-IDRI-0613,train
LIDC-IDRI-0634,train
LIDC-IDRI-0640,train
LIDC-IDRI-0669,train
LIDC-IDRI-0712,train
LIDC-IDRI-0724,valid
LIDC-IDRI-0729,train
LIDC-IDRI-0750,train
LIDC-IDRI-0751,test
LIDC-IDRI-0773,test
LIDC-IDRI-0825,train
LIDC-IDRI-0861,train
LIDC-IDRI-0863,valid
LIDC-IDRI-0872,train
LIDC-IDRI-0101,train
LIDC-IDRI-0103,train
LIDC-IDRI-0926,train
LIDC-IDRI-0941,train
LIDC-IDRI-0944,valid
LIDC-IDRI-0953,train
LIDC-IDRI-0972,valid
LIDC-IDRI-0981,train
LIDC-IDRI-1006,train
LIDC-IDRI-1008,valid
LIDC-IDRI-0113,valid
LIDC-IDRI-0086,valid
LIDC-IDRI-0154,train
LIDC-IDRI-0323,train
LIDC-IDRI-0351,valid
LIDC-IDRI-0355,train
LIDC-IDRI-0379,valid
LIDC-IDRI-0396,valid
LIDC-IDRI-0421,train
LIDC-IDRI-0431,train
LIDC-IDRI-0433,test
LIDC-IDRI-0566,valid
LIDC-IDRI-0684,valid
LIDC-IDRI-0818,valid
LIDC-IDRI-0114,test
LIDC-IDRI-0296,valid
LIDC-IDRI-0812,valid
LIDC-IDRI-0381,valid
LIDC-IDRI-0434,test
LIDC-IDRI-0437,test
LIDC-IDRI-0438,test
LIDC-IDRI-0443,test
LIDC-IDRI-0444,test
LIDC-IDRI-0445,test
LIDC-IDRI-0448,test
LIDC-IDRI-0452,test
LIDC-IDRI-0456,test
LIDC-IDRI-0457,test
LIDC-IDRI-0459,test
LIDC-IDRI-0460,test
LIDC-IDRI-0461,test
LIDC-IDRI-0463,test
LIDC-IDRI-0467,test
LIDC-IDRI-0468,test
LIDC-IDRI-0477,test
LIDC-IDRI-0478,test
LIDC-IDRI-0479,test
LIDC-IDRI-0480,test
LIDC-IDRI-0483,test
LIDC-IDRI-0486,test
LIDC-IDRI-0487,test
LIDC-IDRI-0488,test
LIDC-IDRI-0492,test
LIDC-IDRI-0493,test
LIDC-IDRI-0495,test
LIDC-IDRI-0496,test
LIDC-IDRI-0498,test
LIDC-IDRI-0500,test
LIDC-IDRI-0501,test
LIDC-IDRI-0503,test
LIDC-IDRI-0520,test
LIDC-IDRI-0522,test
LIDC-IDRI-0524,test
LIDC-IDRI-0532,test
LIDC-IDRI-0435,test
LIDC-IDRI-0436,test
LIDC-IDRI-0439,test
LIDC-IDRI-0442,test
LIDC-IDRI-0449,test
LIDC-IDRI-0499,test
LIDC-IDRI-0534,test
